time(s),M_x,M_y
0.06272000000000001,482.5091437455314,452.81133619059926
0.06288,288.6403711497489,634.6483620649673
0.06304,75.67593128695819,724.2871592090211
0.0632,-157.03384145475064,755.7094688166245
0.06336,-423.6762713232674,723.2330754572226
0.06352000000000001,-629.4328137431229,598.3218308622262
0.06368,-822.7043710785388,447.9521136308014
0.06384000000000001,-936.2003357205299,222.53960863614074
0.064,-1007.7294867162611,-0.17343643564134043
0.06416000000000001,-1011.3482243443087,-258.9363223214154
0.06432,-899.411358911787,-480.5469911061011
0.06448000000000001,-794.7598609557464,-675.3490251347755
0.06464,-612.551779550182,-850.1986270040143
0.06480000000000001,-397.7993604269631,-940.9450773135505
0.06496,-143.67765284685166,-1005.7885507671689
0.06512000000000001,89.91023794861553,-963.6917257551578
0.06528,306.5503602356915,-890.5577304731905
0.06544000000000001,490.6018736150678,-753.7352521414359
0.0656,645.0489801869438,-582.2823677911877
0.06576,731.1070605215277,-359.12003291710386
0.06592,781.7790130682157,-155.76689024847488
0.06608,752.6258976375774,63.217476163507484
0.06624000000000001,654.7815546033213,272.7754362822936
0.0664,518.7175547550221,436.7842646857016
0.06656000000000001,361.1656512156946,544.690786878003
0.06672,180.70079568300562,609.4725481487039
0.06688000000000001,-32.98529369133283,607.0167162420664
0.06704,-189.16436273015,564.4685725589949
0.06720000000000001,-361.16955428608696,501.52396559643984
0.06736,-470.2006520469706,361.55576719554375
0.06752000000000001,-549.7315977407419,202.43372849246725
0.06768,-578.2425261698725,40.00800909518478
0.06784000000000001,-582.2457207806036,-93.21522876435179
0.068,-521.8040828055787,-262.7274501074933
0.06816000000000001,-420.9653114447338,-363.8032988769278
0.06832,-298.7824950153418,-470.49881387191095
0.06848,-149.18510352410266,-520.3135193286639
0.06864,11.232090390416092,-516.5989881617783
0.0688,111.38061876417599,-483.3259863235491
0.06896000000000001,245.1911095016091,-414.31595338282244
0.06912,357.0818477385845,-320.14812069687434
0.06928000000000001,378.56674906777255,-198.49654944995797
0.06944,398.5840049487601,-72.33621315260245
0.06960000000000001,392.5048135964541,57.416048771760174
0.06976,353.60805140289386,150.2428356004404
0.06992000000000001,263.8934673675379,252.5577136110358
0.07008,168.49341989199968,303.44749205827077
0.07024000000000001,67.54625417065374,306.88932688746144
0.0704,-38.88969299613625,321.866017553497
0.07056000000000001,-119.78272837425605,285.15603925341867
0.07072,-210.1878465348149,209.2969093058051
0.07088000000000001,-272.3593999118898,129.625016370731
0.07104,-304.62357177951344,34.67366732319254
0.0712,-295.60063742732257,-33.13115388837432
0.07136,-266.54734597884107,-109.69285470275052
0.07152,-195.69363541651555,-169.95850878360287
0.07168000000000001,-146.55780946218542,-209.68797148453726
0.07184,-61.38766399477108,-246.8904008128881
0.07200000000000001,21.391218541704543,-230.6441023052514
0.07216,72.41846876896051,-221.69790104324568
0.07232000000000001,137.52050926349204,-159.9435667851783
0.07248,167.6008905014079,-86.67451980879457
0.07264000000000001,196.37065891343707,-33.48545987972829
0.0728,188.1700896654368,41.454446951113404
0.07296000000000001,134.55527663128356,111.11460040705921
0.07312,78.55768006387395,156.42950240856297
0.07328000000000001,22.621167912815153,178.81302883268526
0.07344,-61.87654858109996,173.24545813409878
0.07360000000000001,-123.01763678618676,154.68654037960687
0.07376,-179.63639472415593,120.16908685277177
0.07392,-237.89103955017669,30.648973982071603
0.07408000000000001,-264.3440308991051,-44.85479459851083
0.07424,-252.72493606747435,-136.92898939255582
0.07440000000000001,-242.69954948907198,-226.7172495678595
0.07456,-161.90272616083453,-294.02990179120553
0.07472000000000001,-119.96018615515015,-354.8929621918143
0.07488,-2.7343783008879323,-388.86506853359055
0.07504000000000001,95.10370526383443,-396.4770565860316
0.0752,225.06514082780416,-381.5365580272709
0.07536000000000001,304.056589393072,-322.97066835713906
0.07552,384.4117834907337,-238.94044689595725
0.07568000000000001,466.092574929285,-156.10007053015255
0.07584,476.3309199428264,-30.476884060225306
0.07600000000000001,483.54908910248196,77.61596652749834
0.07616,441.8472020453969,195.2004201506837
0.07632000000000001,375.6841359745694,294.1930665101266
0.07648,283.64591493421096,365.5241162127951
0.07664,181.835834027698,422.42913570513764
0.07680000000000001,32.07422244186065,444.4166597005905
0.07696,-75.49701781547485,411.3893693357582
0.07712000000000001,-166.52370675957147,355.344790354581
0.07728,-271.1320161954427,264.45236157314287
0.07744000000000001,-337.256388190795,178.72801650227385
0.0776,-345.73145519359434,29.68941003984548
0.07776000000000001,-344.0899911909728,-65.0395367798562
0.07792,-287.0568072403142,-207.15448758303015
0.07808000000000001,-191.60046093123722,-320.80239902833904
0.07824,-103.68877698484914,-383.17827677574564
0.07840000000000001,43.44271104048819,-404.36275995958005
0.07856,170.8991669443013,-417.3900079846425
0.07872000000000001,331.01889958497577,-388.62481589990324
0.07888,458.47995001221113,-298.4453570748746
0.07904000000000001,552.0876056652226,-193.99549955964176
0.0792,636.1806765675947,-54.25137743076013
0.07936,691.7298749431885,91.60472548095005
0.07952000000000001,685.5795003210688,258.5489721536857
0.07968,659.2851064618377,396.1962447733017
0.07984000000000001,551.5435686016939,582.9599553682125
0.08,438.05146153976426,682.1880141901335
0.08016000000000001,292.91059400294307,749.726043708958
0.08032,139.64019491887635,811.1950353173364
0.08048000000000001,-18.324196745043714,812.6129507357822
0.08064,-166.5986384326524,770.624265338419
0.08080000000000001,-310.74867197377745,689.2722143252482
0.08096,-409.61279905032313,588.5131147299654
0.08112000000000001,-476.0282181828609,459.35122632020006
0.08128,-532.4392035834152,326.5850207172866
0.08144000000000001,-515.9265500902129,170.01389781052333
0.0816,-468.8215671749927,46.26839753358598
0.08176000000000001,-387.0439723122572,-87.81238765206979
0.08192,-268.58796943909744,-157.8476452786633
0.08208,-136.88999508089665,-184.55446357602366
0.08224000000000001,-7.283238528994371,-185.4856233556273
0.0824,127.99998347563545,-128.7398746098796
0.08256000000000001,233.05378882021014,-34.85799414405461
0.08272,341.6889751330862,64.66437802081141
0.08288000000000001,373.29339163340313,196.3924942722756
0.08304,394.6782779210445,352.0270804423213
0.08320000000000001,348.5112328447341,527.3984018187424
0.08336,288.3148332436647,668.1403543562147
0.08352000000000001,178.62943895518399,800.537060197249
0.08368,35.79211989323382,893.3179472820374
0.08384000000000001,-145.61406705705107,961.1330947987217
0.084,-308.1782863158332,979.1528520531589
